kind,step,chunk_size,n_blocks,n_hit,hit_ratio
one-step-divergence,0,4096,121534,3,2.4684450441851664e-05
cross-job-same-step,0,4096,121534,675,0.005554001349416624
cross-job-same-step,1,4096,121534,675,0.005554001349416624
cross-job-same-step,2,4096,121534,675,0.005554001349416624
cross-job-same-step,3,4096,121534,675,0.005554001349416624
cross-job-same-step,4,4096,121534,675,0.005554001349416624
cross-job-same-step,5,4096,121534,675,0.005554001349416624
cross-job-hit-any,0,4096,121534,675,0.005554001349416624
cross-job-hit-any,1,4096,121534,675,0.005554001349416624
cross-job-hit-any,2,4096,121534,675,0.005554001349416624
cross-job-hit-any,3,4096,121534,675,0.005554001349416624
cross-job-hit-any,4,4096,121534,675,0.005554001349416624
cross-job-hit-any,5,4096,121534,675,0.005554001349416624
one-step-divergence,0,65536,7595,0,0.0
cross-job-same-step,0,65536,7595,41,0.005398288347597103
cross-job-same-step,1,65536,7595,41,0.005398288347597103
cross-job-same-step,2,65536,7595,41,0.005398288347597103
cross-job-same-step,3,65536,7595,41,0.005398288347597103
cross-job-same-step,4,65536,7595,41,0.005398288347597103
cross-job-same-step,5,65536,7595,41,0.005398288347597103
cross-job-hit-any,0,65536,7595,41,0.005398288347597103
cross-job-hit-any,1,65536,7595,41,0.005398288347597103
cross-job-hit-any,2,65536,7595,41,0.005398288347597103
cross-job-hit-any,3,65536,7595,41,0.005398288347597103
cross-job-hit-any,4,65536,7595,41,0.005398288347597103
cross-job-hit-any,5,65536,7595,41,0.005398288347597103
one-step-divergence,0,1048576,474,0,0.0
cross-job-same-step,0,1048576,474,2,0.004219409282700422
cross-job-same-step,1,1048576,474,2,0.004219409282700422
cross-job-same-step,2,1048576,474,2,0.004219409282700422
cross-job-same-step,3,1048576,474,2,0.004219409282700422
cross-job-same-step,4,1048576,474,2,0.004219409282700422
cross-job-same-step,5,1048576,474,2,0.004219409282700422
cross-job-hit-any,0,1048576,474,2,0.004219409282700422
cross-job-hit-any,1,1048576,474,2,0.004219409282700422
cross-job-hit-any,2,1048576,474,2,0.004219409282700422
cross-job-hit-any,3,1048576,474,2,0.004219409282700422
cross-job-hit-any,4,1048576,474,2,0.004219409282700422
cross-job-hit-any,5,1048576,474,2,0.004219409282700422
