group,step_a,step_b,chunk_size,hit_count,n_chunks,hit_ratio
weights_fp32,0,1,4096,0,121464,0.0
weights_fp32,0,1,65536,0,7587,0.0
weights_fp32,0,1,1048576,0,462,0.0
weights_fp32,1,2,4096,0,121464,0.0
weights_fp32,1,2,65536,0,7587,0.0
weights_fp32,1,2,1048576,0,462,0.0
weights_fp32,9,10,4096,0,121464,0.0
weights_fp32,9,10,65536,0,7587,0.0
weights_fp32,9,10,1048576,0,462,0.0
weights_fp32,49,50,4096,0,121464,0.0
weights_fp32,49,50,65536,0,7587,0.0
weights_fp32,49,50,1048576,0,462,0.0
weights_fp32,98,99,4096,0,121464,0.0
weights_fp32,98,99,65536,0,7587,0.0
weights_fp32,98,99,1048576,0,462,0.0
weights_fp32,99,100,4096,0,121464,0.0
weights_fp32,99,100,65536,0,7587,0.0
weights_fp32,99,100,1048576,0,462,0.0
weights_fp32,0,50,4096,0,121464,0.0
weights_fp32,0,50,65536,0,7587,0.0
weights_fp32,0,50,1048576,0,462,0.0
weights_fp32,0,100,4096,0,121464,0.0
weights_fp32,0,100,65536,0,7587,0.0
weights_fp32,0,100,1048576,0,462,0.0
weights_fp32,50,100,4096,0,121464,0.0
weights_fp32,50,100,65536,0,7587,0.0
weights_fp32,50,100,1048576,0,462,0.0
weights_bf16,0,1,4096,7,60726,0.000115
weights_bf16,0,1,65536,0,3793,0.0
weights_bf16,0,1,1048576,0,218,0.0
weights_bf16,1,2,4096,6,60726,9.9e-05
weights_bf16,1,2,65536,0,3793,0.0
weights_bf16,1,2,1048576,0,218,0.0
weights_bf16,9,10,4096,8,60726,0.000132
weights_bf16,9,10,65536,0,3793,0.0
weights_bf16,9,10,1048576,0,218,0.0
weights_bf16,49,50,4096,8,60726,0.000132
weights_bf16,49,50,65536,0,3793,0.0
weights_bf16,49,50,1048576,0,218,0.0
weights_bf16,98,99,4096,6,60726,9.9e-05
weights_bf16,98,99,65536,0,3793,0.0
weights_bf16,98,99,1048576,0,218,0.0
weights_bf16,99,100,4096,11,60726,0.000181
weights_bf16,99,100,65536,0,3793,0.0
weights_bf16,99,100,1048576,0,218,0.0
weights_bf16,0,50,4096,0,60726,0.0
weights_bf16,0,50,65536,0,3793,0.0
weights_bf16,0,50,1048576,0,218,0.0
weights_bf16,0,100,4096,0,60726,0.0
weights_bf16,0,100,65536,0,3793,0.0
weights_bf16,0,100,1048576,0,218,0.0
weights_bf16,50,100,4096,0,60726,0.0
weights_bf16,50,100,65536,0,3793,0.0
weights_bf16,50,100,1048576,0,218,0.0
torchsave,0,50,4096,1344,364392,0.003688
torchsave,0,50,65536,0,22761,0.0
torchsave,0,50,1048576,0,1386,0.0
torchsave,0,100,4096,1344,364392,0.003688
torchsave,0,100,65536,0,22761,0.0
torchsave,0,100,1048576,0,1386,0.0
torchsave,50,100,4096,1344,364392,0.003688
torchsave,50,100,65536,84,22761,0.003691
torchsave,50,100,1048576,4,1386,0.002886
