format,view,chunk_size,step,n_chunks,n_unique,intra_dup_ratio,hit_any_count,hit_any_ratio,hit_adj_count,hit_adj_ratio
torchsave,file,4096,0,364610,363267,0.003683,0,0.0,0,0.0
torchsave,file,65536,0,22788,22707,0.003555,0,0.0,0,0.0
torchsave,file,1048576,0,1424,1423,0.000702,0,0.0,0,0.0
torchsave,file,4194304,0,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,0,364392,363049,0.003686,0,0.0,0,0.0
torchsave,zipdata,65536,0,22761,22678,0.003647,0,0.0,0,0.0
torchsave,zipdata,1048576,0,1386,1383,0.002165,0,0.0,0,0.0
torchsave,zipdata,4194304,0,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,1,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,1,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,1,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,1,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,1,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,1,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,1,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,1,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,2,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,2,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,2,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,2,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,2,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,2,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,2,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,2,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,3,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,3,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,3,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,3,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,3,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,3,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,3,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,3,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,4,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,4,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,4,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,4,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,4,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,4,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,4,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,4,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,5,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,5,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,5,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,5,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,5,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,5,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,5,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,5,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,6,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,6,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,6,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,6,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,6,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,6,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,6,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,6,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,7,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,7,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,7,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,7,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,7,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,7,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,7,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,7,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,8,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,8,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,8,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,8,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,8,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,8,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,8,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,8,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,9,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,9,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,9,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,9,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,9,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,9,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,9,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,9,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,10,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,10,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,10,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,10,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,10,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,10,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,10,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,10,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,11,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,11,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,11,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,11,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,11,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,11,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,11,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,11,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,12,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,12,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,12,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,12,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,12,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,12,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,12,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,12,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,13,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,13,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,13,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,13,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,13,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,13,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,13,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,13,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,14,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,14,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,14,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,14,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,14,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,14,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,14,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,14,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,15,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,15,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,15,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,15,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,15,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,15,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,15,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,15,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,16,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,16,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,16,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,16,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,16,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,16,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,16,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,16,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,17,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,17,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,17,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,17,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,17,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,17,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,17,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,17,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,18,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,18,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,18,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,18,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,18,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,18,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,18,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,18,288,288,0.0,0,0.0,0,0.0
torchsave,file,4096,19,364610,363267,0.003683,1355,0.003716,1355,0.003716
torchsave,file,65536,19,22788,22707,0.003555,82,0.003598,82,0.003598
torchsave,file,1048576,19,1424,1423,0.000702,2,0.001404,2,0.001404
torchsave,file,4194304,19,356,356,0.0,0,0.0,0,0.0
torchsave,zipdata,4096,19,364392,363049,0.003686,1344,0.003688,1344,0.003688
torchsave,zipdata,65536,19,22761,22678,0.003647,84,0.003691,84,0.003691
torchsave,zipdata,1048576,19,1386,1383,0.002165,4,0.002886,4,0.002886
torchsave,zipdata,4194304,19,288,288,0.0,0,0.0,0,0.0
weights,file,4096,0,121534,121534,0.0,0,0.0,0,0.0
weights,file,65536,0,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,0,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,0,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,0,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,0,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,0,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,0,96,96,0.0,0,0.0,0,0.0
weights,file,4096,1,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,1,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,1,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,1,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,1,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,1,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,1,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,1,96,96,0.0,0,0.0,0,0.0
weights,file,4096,2,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,2,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,2,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,2,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,2,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,2,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,2,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,2,96,96,0.0,0,0.0,0,0.0
weights,file,4096,3,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,3,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,3,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,3,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,3,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,3,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,3,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,3,96,96,0.0,0,0.0,0,0.0
weights,file,4096,4,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,4,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,4,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,4,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,4,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,4,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,4,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,4,96,96,0.0,0,0.0,0,0.0
weights,file,4096,5,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,5,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,5,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,5,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,5,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,5,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,5,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,5,96,96,0.0,0,0.0,0,0.0
weights,file,4096,6,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,6,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,6,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,6,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,6,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,6,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,6,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,6,96,96,0.0,0,0.0,0,0.0
weights,file,4096,7,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,7,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,7,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,7,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,7,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,7,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,7,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,7,96,96,0.0,0,0.0,0,0.0
weights,file,4096,8,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,8,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,8,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,8,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,8,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,8,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,8,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,8,96,96,0.0,0,0.0,0,0.0
weights,file,4096,9,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,9,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,9,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,9,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,9,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,9,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,9,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,9,96,96,0.0,0,0.0,0,0.0
weights,file,4096,10,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,10,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,10,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,10,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,10,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,10,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,10,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,10,96,96,0.0,0,0.0,0,0.0
weights,file,4096,11,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,11,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,11,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,11,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,11,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,11,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,11,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,11,96,96,0.0,0,0.0,0,0.0
weights,file,4096,12,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,12,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,12,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,12,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,12,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,12,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,12,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,12,96,96,0.0,0,0.0,0,0.0
weights,file,4096,13,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,13,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,13,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,13,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,13,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,13,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,13,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,13,96,96,0.0,0,0.0,0,0.0
weights,file,4096,14,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,14,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,14,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,14,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,14,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,14,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,14,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,14,96,96,0.0,0,0.0,0,0.0
weights,file,4096,15,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,15,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,15,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,15,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,15,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,15,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,15,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,15,96,96,0.0,0,0.0,0,0.0
weights,file,4096,16,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,16,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,16,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,16,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,16,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,16,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,16,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,16,96,96,0.0,0,0.0,0,0.0
weights,file,4096,17,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,17,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,17,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,17,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,17,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,17,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,17,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,17,96,96,0.0,0,0.0,0,0.0
weights,file,4096,18,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,18,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,18,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,18,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,18,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,18,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,18,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,18,96,96,0.0,0,0.0,0,0.0
weights,file,4096,19,121534,121534,0.0,3,2.5e-05,3,2.5e-05
weights,file,65536,19,7595,7595,0.0,0,0.0,0,0.0
weights,file,1048576,19,474,474,0.0,0,0.0,0,0.0
weights,file,4194304,19,118,118,0.0,0,0.0,0,0.0
weights,zipdata,4096,19,121464,121464,0.0,0,0.0,0,0.0
weights,zipdata,65536,19,7587,7587,0.0,0,0.0,0,0.0
weights,zipdata,1048576,19,462,462,0.0,0,0.0,0,0.0
weights,zipdata,4194304,19,96,96,0.0,0,0.0,0,0.0
dcp,file,4096,0,364742,363399,0.003682,0,0.0,0,0.0
dcp,file,65536,0,22796,22715,0.003553,0,0.0,0,0.0
dcp,file,1048576,0,1424,1421,0.002107,0,0.0,0,0.0
dcp,file,4194304,0,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,1,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,1,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,1,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,1,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,2,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,2,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,2,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,2,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,3,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,3,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,3,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,3,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,4,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,4,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,4,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,4,356,356,0.0,0,0.0,0,0.0
dcp,file,4096,5,364742,363399,0.003682,1346,0.00369,1346,0.00369
dcp,file,65536,5,22796,22715,0.003553,82,0.003597,82,0.003597
dcp,file,1048576,5,1424,1421,0.002107,4,0.002809,4,0.002809
dcp,file,4194304,5,356,356,0.0,0,0.0,0,0.0
