format,view,chunk_size,step,distance,count
torchsave,file,4096,1,1,1355
torchsave,file,65536,1,1,82
torchsave,file,1048576,1,1,2
torchsave,zipdata,4096,1,1,1344
torchsave,zipdata,65536,1,1,84
torchsave,zipdata,1048576,1,1,4
torchsave,file,4096,2,2,1355
torchsave,file,65536,2,2,82
torchsave,file,1048576,2,2,2
torchsave,zipdata,4096,2,2,1344
torchsave,zipdata,65536,2,2,84
torchsave,zipdata,1048576,2,2,4
torchsave,file,4096,3,3,1355
torchsave,file,65536,3,3,82
torchsave,file,1048576,3,3,2
torchsave,zipdata,4096,3,3,1344
torchsave,zipdata,65536,3,3,84
torchsave,zipdata,1048576,3,3,4
torchsave,file,4096,4,4,1355
torchsave,file,65536,4,4,82
torchsave,file,1048576,4,4,2
torchsave,zipdata,4096,4,4,1344
torchsave,zipdata,65536,4,4,84
torchsave,zipdata,1048576,4,4,4
torchsave,file,4096,5,5,1355
torchsave,file,65536,5,5,82
torchsave,file,1048576,5,5,2
torchsave,zipdata,4096,5,5,1344
torchsave,zipdata,65536,5,5,84
torchsave,zipdata,1048576,5,5,4
torchsave,file,4096,6,6,1355
torchsave,file,65536,6,6,82
torchsave,file,1048576,6,6,2
torchsave,zipdata,4096,6,6,1344
torchsave,zipdata,65536,6,6,84
torchsave,zipdata,1048576,6,6,4
torchsave,file,4096,7,7,1355
torchsave,file,65536,7,7,82
torchsave,file,1048576,7,7,2
torchsave,zipdata,4096,7,7,1344
torchsave,zipdata,65536,7,7,84
torchsave,zipdata,1048576,7,7,4
torchsave,file,4096,8,8,1355
torchsave,file,65536,8,8,82
torchsave,file,1048576,8,8,2
torchsave,zipdata,4096,8,8,1344
torchsave,zipdata,65536,8,8,84
torchsave,zipdata,1048576,8,8,4
torchsave,file,4096,9,9,1355
torchsave,file,65536,9,9,82
torchsave,file,1048576,9,9,2
torchsave,zipdata,4096,9,9,1344
torchsave,zipdata,65536,9,9,84
torchsave,zipdata,1048576,9,9,4
torchsave,file,4096,10,10,1355
torchsave,file,65536,10,10,82
torchsave,file,1048576,10,10,2
torchsave,zipdata,4096,10,10,1344
torchsave,zipdata,65536,10,10,84
torchsave,zipdata,1048576,10,10,4
torchsave,file,4096,11,11,1355
torchsave,file,65536,11,11,82
torchsave,file,1048576,11,11,2
torchsave,zipdata,4096,11,11,1344
torchsave,zipdata,65536,11,11,84
torchsave,zipdata,1048576,11,11,4
torchsave,file,4096,12,12,1355
torchsave,file,65536,12,12,82
torchsave,file,1048576,12,12,2
torchsave,zipdata,4096,12,12,1344
torchsave,zipdata,65536,12,12,84
torchsave,zipdata,1048576,12,12,4
torchsave,file,4096,13,13,1355
torchsave,file,65536,13,13,82
torchsave,file,1048576,13,13,2
torchsave,zipdata,4096,13,13,1344
torchsave,zipdata,65536,13,13,84
torchsave,zipdata,1048576,13,13,4
torchsave,file,4096,14,14,1355
torchsave,file,65536,14,14,82
torchsave,file,1048576,14,14,2
torchsave,zipdata,4096,14,14,1344
torchsave,zipdata,65536,14,14,84
torchsave,zipdata,1048576,14,14,4
