format,view,chunk_size,step_a,step_b,inter_over_a,inter_over_b,jaccard
torchsave,file,4096,0,1,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,0,2,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,0,4,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,0,8,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,1,2,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,1,3,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,1,5,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,1,9,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,2,3,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,2,4,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,2,6,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,2,10,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,3,4,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,3,5,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,3,7,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,3,11,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,4,5,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,4,6,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,4,8,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,4,12,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,5,6,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,5,7,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,5,9,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,5,13,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,6,7,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,6,8,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,6,10,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,6,14,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,7,8,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,7,9,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,7,11,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,7,15,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,8,9,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,8,10,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,8,12,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,8,16,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,9,10,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,9,11,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,9,13,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,9,17,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,10,11,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,10,12,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,10,14,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,10,18,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,11,12,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,11,13,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,11,15,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,11,19,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,12,13,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,12,14,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,12,16,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,13,14,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,13,15,3.3e-05,3.3e-05,1.7e-05
torchsave,file,4096,13,17,3.3e-05,3.3e-05,1.7e-05
