version,digest,compressed_size,is_gzip,new_vs_prev
v1,01a012226c8bf314610,1267,0,config
v1,1657a6dd7b8d55bca3b,74718720,0,True
v1,470b66ea5123c93b0d5,75191296,0,True
v1,4b17b2603e2d1b75962,556,0,config
v1,cb64683c2e452a39917,406,0,config
v1,d3b191970371dd15b21,2191,0,config
v2,2d72a9ba2b96fd5496c,1267,0,config
v2,427b2df3679d8218733,557,0,config
v2,470b66ea5123c93b0d5,75191296,0,False
v2,4e2112b6c9133b8b668,2191,0,config
v2,cb64683c2e452a39917,406,0,config
v2,dc6af0e12a391e99461,191430144,0,True
v3,470b66ea5123c93b0d5,75191296,0,False
v3,73139fe7272b4ef1819,197003264,0,True
v3,9a9a5e87a6966f98777,2191,0,config
v3,b364cdcf3253086cdfc,1267,0,config
v3,b839cb496846400f419,557,0,config
v3,cb64683c2e452a39917,406,0,config
