group,view,version,chunk_size,n_chunks,hit_adj,hit_any,hit_adj_ratio,hit_any_ratio
rootfs,raw,rootfs_v1,4096,37178,0,0,0.0,0.0
rootfs,raw,rootfs_v1,65536,2329,0,0,0.0,0.0
rootfs,raw,rootfs_v1,1048576,145,0,0,0.0,0.0
rootfs,raw,rootfs_v2,4096,65480,2576,2576,0.03934,0.03934
rootfs,raw,rootfs_v2,65536,4109,58,58,0.014115,0.014115
rootfs,raw,rootfs_v2,1048576,256,0,0,0.0,0.0
rootfs,raw,rootfs_v3,4096,66675,2886,6906,0.043285,0.103577
rootfs,raw,rootfs_v3,65536,4194,52,68,0.012399,0.016214
rootfs,raw,rootfs_v3,1048576,262,0,0,0.0,0.0
rootfs,perfile,rootfs_v1,4096,34144,0,0,0.0,0.0
rootfs,perfile,rootfs_v1,65536,1780,0,0,0.0,0.0
rootfs,perfile,rootfs_v1,1048576,68,0,0,0.0,0.0
rootfs,perfile,rootfs_v2,4096,58192,34093,34093,0.585871,0.585871
rootfs,perfile,rootfs_v2,65536,2853,1778,1778,0.623204,0.623204
rootfs,perfile,rootfs_v2,1048576,103,68,68,0.660194,0.660194
rootfs,perfile,rootfs_v3,4096,59466,58127,58127,0.977483,0.977483
rootfs,perfile,rootfs_v3,65536,2925,2849,2849,0.974017,0.974017
rootfs,perfile,rootfs_v3,1048576,105,103,103,0.980952,0.980952
source,raw,src_s1,4096,2372,0,0,0.0,0.0
source,raw,src_s1,65536,148,0,0,0.0,0.0
source,raw,src_s1,1048576,9,0,0,0.0,0.0
source,raw,src_s2,4096,3027,43,43,0.014205,0.014205
source,raw,src_s2,65536,189,0,0,0.0,0.0
source,raw,src_s2,1048576,11,0,0,0.0,0.0
source,raw,src_s3,4096,3187,59,145,0.018513,0.045497
source,raw,src_s3,65536,199,1,1,0.005025,0.005025
source,raw,src_s3,1048576,12,0,0,0.0,0.0
source,raw,src_s4,4096,3302,288,386,0.08722,0.116899
source,raw,src_s4,65536,206,1,1,0.004854,0.004854
source,raw,src_s4,1048576,12,0,0,0.0,0.0
source,raw,src_s5,4096,3414,1698,1854,0.497364,0.543058
source,raw,src_s5,65536,213,1,1,0.004695,0.004695
source,raw,src_s5,1048576,13,0,0,0.0,0.0
source,perfile,src_s1,4096,1973,0,0,0.0,0.0
source,perfile,src_s1,65536,46,0,0,0.0,0.0
source,perfile,src_s1,1048576,0,0,0,0.0,0.0
source,perfile,src_s2,4096,2553,828,828,0.324324,0.324324
source,perfile,src_s2,65536,61,7,7,0.114754,0.114754
source,perfile,src_s2,1048576,0,0,0,0.0,0.0
source,perfile,src_s3,4096,2688,1894,1894,0.704613,0.704613
source,perfile,src_s3,65536,64,36,36,0.5625,0.5625
source,perfile,src_s3,1048576,0,0,0,0.0,0.0
source,perfile,src_s4,4096,2784,2098,2098,0.753592,0.753592
source,perfile,src_s4,65536,65,38,38,0.584615,0.584615
source,perfile,src_s4,1048576,0,0,0,0.0,0.0
source,perfile,src_s5,4096,2885,2734,2734,0.94766,0.94766
source,perfile,src_s5,65536,68,65,65,0.955882,0.955882
source,perfile,src_s5,1048576,0,0,0,0.0,0.0
images,raw,v1,4096,36446,0,0,0.0,0.0
images,raw,v1,65536,2287,0,0,0.0,0.0
images,raw,v1,1048576,142,0,0,0.0,0.0
images,raw,v2,4096,64846,212,212,0.003269,0.003269
images,raw,v2,65536,4068,1,1,0.000246,0.000246
images,raw,v2,1048576,254,0,0,0.0,0.0
images,raw,v3,4096,66134,12155,12619,0.183794,0.19081
images,raw,v3,65536,4153,0,0,0.0,0.0
images,raw,v3,1048576,259,0,0,0.0,0.0
images,layers-perfile,v1,4096,34169,0,0,0.0,0.0
images,layers-perfile,v1,65536,1781,0,0,0.0,0.0
images,layers-perfile,v1,1048576,68,0,0,0.0,0.0
images,layers-perfile,v2,4096,58217,34118,34118,0.586049,0.586049
images,layers-perfile,v2,65536,2854,1779,1779,0.623336,0.623336
images,layers-perfile,v2,1048576,103,68,68,0.660194,0.660194
images,layers-perfile,v3,4096,59491,58152,58152,0.977492,0.977492
images,layers-perfile,v3,65536,2926,2850,2850,0.974026,0.974026
images,layers-perfile,v3,1048576,105,103,103,0.980952,0.980952
