format,view,chunk_size,step,n_chunks,n_unique,intra_dup_ratio,hit_any_count,hit_any_ratio,hit_adj_count,hit_adj_ratio
safetensors,file,4096,0,121526,121526,0.0,0,0.0,0,0.0
safetensors,file,65536,0,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,0,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,0,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,1,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,1,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,1,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,1,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,2,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,2,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,2,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,2,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,3,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,3,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,3,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,3,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,4,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,4,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,4,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,4,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,5,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,5,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,5,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,5,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,6,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,6,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,6,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,6,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,7,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,7,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,7,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,7,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,8,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,8,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,8,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,8,118,118,0.0,0,0.0,0,0.0
safetensors,file,4096,9,121526,121526,0.0,3,2.5e-05,3,2.5e-05
safetensors,file,65536,9,7595,7595,0.0,0,0.0,0,0.0
safetensors,file,1048576,9,474,474,0.0,0,0.0,0,0.0
safetensors,file,4194304,9,118,118,0.0,0,0.0,0,0.0
