format,view,chunk_size,step,ref_step,shift,hit_count,n_chunks,hit_ratio
torchsave,file,4096,1,0,1,1344,364610,0.003686
torchsave,file,4096,1,0,16,1344,364610,0.003686
torchsave,file,4096,1,0,256,1344,364610,0.003686
torchsave,file,4096,1,0,4096,1355,364610,0.003716
torchsave,file,65536,1,0,1,82,22788,0.003598
torchsave,file,65536,1,0,16,82,22788,0.003598
torchsave,file,65536,1,0,256,82,22788,0.003598
torchsave,file,65536,1,0,4096,82,22788,0.003598
torchsave,file,1048576,1,0,1,2,1424,0.001404
torchsave,file,1048576,1,0,16,2,1424,0.001404
torchsave,file,1048576,1,0,256,2,1424,0.001404
torchsave,file,1048576,1,0,4096,2,1424,0.001404
torchsave,file,4194304,1,0,1,0,356,0.0
torchsave,file,4194304,1,0,16,0,356,0.0
torchsave,file,4194304,1,0,256,0,356,0.0
torchsave,file,4194304,1,0,4096,0,356,0.0
torchsave,file,4096,2,1,1,1344,364610,0.003686
torchsave,file,4096,2,1,16,1344,364610,0.003686
torchsave,file,4096,2,1,256,1344,364610,0.003686
torchsave,file,4096,2,1,4096,1355,364610,0.003716
torchsave,file,65536,2,1,1,82,22788,0.003598
torchsave,file,65536,2,1,16,82,22788,0.003598
torchsave,file,65536,2,1,256,82,22788,0.003598
torchsave,file,65536,2,1,4096,82,22788,0.003598
torchsave,file,1048576,2,1,1,2,1424,0.001404
torchsave,file,1048576,2,1,16,2,1424,0.001404
torchsave,file,1048576,2,1,256,2,1424,0.001404
torchsave,file,1048576,2,1,4096,2,1424,0.001404
torchsave,file,4194304,2,1,1,0,356,0.0
torchsave,file,4194304,2,1,16,0,356,0.0
torchsave,file,4194304,2,1,256,0,356,0.0
torchsave,file,4194304,2,1,4096,0,356,0.0
torchsave,file,4096,3,2,1,1344,364610,0.003686
torchsave,file,4096,3,2,16,1344,364610,0.003686
torchsave,file,4096,3,2,256,1344,364610,0.003686
torchsave,file,4096,3,2,4096,1355,364610,0.003716
torchsave,file,65536,3,2,1,82,22788,0.003598
torchsave,file,65536,3,2,16,82,22788,0.003598
torchsave,file,65536,3,2,256,82,22788,0.003598
torchsave,file,65536,3,2,4096,82,22788,0.003598
torchsave,file,1048576,3,2,1,2,1424,0.001404
torchsave,file,1048576,3,2,16,2,1424,0.001404
torchsave,file,1048576,3,2,256,2,1424,0.001404
torchsave,file,1048576,3,2,4096,2,1424,0.001404
torchsave,file,4194304,3,2,1,0,356,0.0
torchsave,file,4194304,3,2,16,0,356,0.0
torchsave,file,4194304,3,2,256,0,356,0.0
torchsave,file,4194304,3,2,4096,0,356,0.0
torchsave,file,4096,4,3,1,1344,364610,0.003686
torchsave,file,4096,4,3,16,1344,364610,0.003686
torchsave,file,4096,4,3,256,1344,364610,0.003686
torchsave,file,4096,4,3,4096,1355,364610,0.003716
torchsave,file,65536,4,3,1,82,22788,0.003598
torchsave,file,65536,4,3,16,82,22788,0.003598
torchsave,file,65536,4,3,256,82,22788,0.003598
torchsave,file,65536,4,3,4096,82,22788,0.003598
torchsave,file,1048576,4,3,1,2,1424,0.001404
torchsave,file,1048576,4,3,16,2,1424,0.001404
torchsave,file,1048576,4,3,256,2,1424,0.001404
torchsave,file,1048576,4,3,4096,2,1424,0.001404
torchsave,file,4194304,4,3,1,0,356,0.0
torchsave,file,4194304,4,3,16,0,356,0.0
torchsave,file,4194304,4,3,256,0,356,0.0
torchsave,file,4194304,4,3,4096,0,356,0.0
torchsave,file,4096,5,4,1,1344,364610,0.003686
torchsave,file,4096,5,4,16,1344,364610,0.003686
torchsave,file,4096,5,4,256,1344,364610,0.003686
torchsave,file,4096,5,4,4096,1355,364610,0.003716
torchsave,file,65536,5,4,1,82,22788,0.003598
torchsave,file,65536,5,4,16,82,22788,0.003598
torchsave,file,65536,5,4,256,82,22788,0.003598
torchsave,file,65536,5,4,4096,82,22788,0.003598
torchsave,file,1048576,5,4,1,2,1424,0.001404
torchsave,file,1048576,5,4,16,2,1424,0.001404
torchsave,file,1048576,5,4,256,2,1424,0.001404
torchsave,file,1048576,5,4,4096,2,1424,0.001404
torchsave,file,4194304,5,4,1,0,356,0.0
torchsave,file,4194304,5,4,16,0,356,0.0
torchsave,file,4194304,5,4,256,0,356,0.0
torchsave,file,4194304,5,4,4096,0,356,0.0
torchsave,file,4096,6,5,1,1344,364610,0.003686
torchsave,file,4096,6,5,16,1344,364610,0.003686
torchsave,file,4096,6,5,256,1344,364610,0.003686
torchsave,file,4096,6,5,4096,1355,364610,0.003716
torchsave,file,65536,6,5,1,82,22788,0.003598
torchsave,file,65536,6,5,16,82,22788,0.003598
torchsave,file,65536,6,5,256,82,22788,0.003598
torchsave,file,65536,6,5,4096,82,22788,0.003598
torchsave,file,1048576,6,5,1,2,1424,0.001404
